WS,WG,category,definition,gloss,uni_lemma,sho
item_494,item_751,action_words,attraper,catch,catch,attraper
item_495,item_760,action_words,avoir,have,have,avoir
item_496,item_368,action_words,balancer,swing (action),swing (action),balancer
item_497,item_786,action_words,balayer,sweep,sweep,balayer
item_498,item_369,action_words,boire,drink (action),drink (action),boire
item_499,item_762,action_words,cacher,hide,hide,cacher
item_500,item_370,action_words,casser,break,break,casser
item_501,item_371,action_words,chanter,sing,sing,chanter
item_502,item_372,action_words,chatouiller,tickle,tickle,chatouiller
item_503,item_373,action_words,conduire,drive,drive,conduire
item_504,item_748,action_words,construire,build,build,construire
item_505,item_764,action_words,couper,cut,cut,couper
item_506,item_374,action_words,courir,run,run,courir
item_507,item_752,action_words,courir après,chase,chase,courir après
item_508,item_793,action_words,couvrir,cover,cover (action),couvrir
item_509,item_795,action_words,cuisiner,cook,cook,cuisiner
item_510,item_375,action_words,danser,dance,dance,danser
item_511,item_776,action_words,déchirer,tear,tear,déchirer
item_512,item_755,action_words,déposer,put,put,déposer
item_513,item_376,action_words,dessiner,draw,draw,dessiner
item_514,item_759,action_words,détester,hate,hate,détester
item_515,item_377,action_words,dire,say,say,dire
item_516,item_378,action_words,donner,give,give,donner
item_517,item_379,action_words,donner un coup,kick,kick,donner un coup de pied
item_518,item_380,action_words,dormir,sleep,sleep,dormir
item_519,item_381,action_words,éclabousser,splash,splash,éclabousser
item_520,item_768,action_words,écouter,listen,listen,écouter
item_521,item_382,action_words,écrire,write,write,écrire
item_522,item_761,action_words,entendre,hear,hear,entendre
item_523,item_383,action_words,essuyer,wipe,wipe,essuyer
item_524,item_784,action_words,être debout,get up,get up,être debout
item_525,item_769,action_words,faire,do,do,faire (verb)
item_526,item_753,action_words,faire bravo,(??),congratulate,faire bravo
item_527,item_771,action_words,faire de la peinture,paint (action),paint (action),faire de la peinture
item_528,item_780,action_words,faire du patin,skate,skate (action),faire du patin
item_529,item_384,action_words,faire du vélo/moto,,ride,faire du vélo/de la moto
item_530,item_774,action_words,faire semblant,pretend,pretend,faire semblant
item_531,item_385,action_words,faire un bisou,kiss,kiss,faire un bisou
item_532,item_386,action_words,fermer,close,close,fermer
item_533,item_387,action_words,finir,finish,finish,finir
item_534,item_765,action_words,frapper à la porte,knock,knock,frapper à la porte
item_535,item_781,action_words,glisser,slide (action),slide (action),glisser
item_536,item_788,action_words,goûter,taste,taste,goûter (verb)
item_537,item_775,action_words,goutter,drip,drip,goutter
item_538,item_794,action_words,grimper,climb,climb,grimper
item_539,item_388,action_words,jeter,dump,dump,jeter
item_540,item_389,action_words,jouer,play,play,jouer
item_541,item_390,action_words,laver,wash,wash,laver
item_542,item_766,action_words,lécher,lick,lick,lécher
item_543,item_391,action_words,lire,read,read,lire
item_544,item_392,action_words,manger,eat,eat,manger
item_545,item_393,action_words,marcher,walk,walk,marcher
item_546,item_394,action_words,mettre,put,put,mettre
item_547,item_395,action_words,montrer,show,show,montrer
item_548,item_396,action_words,mordre,bite,bite,mordre
item_549,item_397,action_words,nager,swim,swim,nager
item_550,item_398,action_words,nettoyer,clean (action),clean (action),nettoyer
item_551,item_399,action_words,nourrir,feed,feed,nourrir
item_552,item_400,action_words,ouvrir,open (action),open (action),ouvrir
item_553,item_787,action_words,parler,talk,talk,parler
item_554,item_778,action_words,partager,share,share,partager
item_555,item_790,action_words,penser,think,think,penser
item_556,item_401,action_words,pleurer,cry,cry,pleurer
item_557,item_750,action_words,porter,carry,carry,porter
item_558,item_402,action_words,pousser,push,push,pousser
item_559,item_403,action_words,prendre,take,take,prendre
item_560,item_404,action_words,prendre dans ses bras,hug,hug,prendre dans ses bras
item_561,item_770,action_words,ramasser,pick up,pick,ramasser
item_562,item_405,action_words,recevoir,receive,,recevoir
item_563,item_406,action_words,regarder,look,look,regarder
item_564,item_772,action_words,renverser,spill,spill,renverser
item_565,item_758,action_words,réparer,repair/fix,fix,réparer
item_566,item_785,action_words,rester,stay,stay,rester
item_567,item_779,action_words,s'asseoir,sit,sit,s'asseoir
item_568,item_407,action_words,sauter,jump,jump,sauter
item_569,item_408,action_words,se cogner,hit/bump into,hit,se cogner
item_570,item_409,action_words,se dépêcher,hurry up,hurry,se dépêcher
item_571,item_792,action_words,se réveiller,wake,wake,se réveiller
item_572,item_754,action_words,sécher,dry (action),dry (action),sécher
item_573,item_777,action_words,secouer,shake,shake,secouer
item_574,item_410,action_words,souffler,blow,blow,souffler
item_575,item_783,action_words,souhaiter,wish,wish,souhaiter
item_576,item_411,action_words,sourire,smile,smile,sourire
item_577,item_412,action_words,taper,hit,hit,taper
item_578,item_763,action_words,tenir,hold,hold,tenir
item_579,item_413,action_words,tirer,pull,pull,tirer
item_580,item_414,action_words,tomber,fall,fall,tomber
item_581,item_415,action_words,toucher,touch,touch,toucher
item_582,item_782,action_words,travailler,work (action),work (action),travailler
item_583,item_756,action_words,trouver,find,find,trouver
item_584,item_773,action_words,verser,pour,pour,verser
item_585,item_416,action_words,voir,see,see,voir
item_586,item_654,time_words,après,after,after,après
item_587,item_417,time_words,aujourd'hui,today,today,aujourd'hui
item_588,item_655,time_words,avant,before,before,avant
item_589,item_418,time_words,ce soir,tonight,tonight,ce soir
item_590,item_419,time_words,demain,tomorrow,tomorrow,demain
item_591,item_656,time_words,heure,time,time,heure
item_592,item_657,time_words,hier,yesterday,yesterday,hier
item_593,item_420,time_words,jour,day,day,jour
item_594,item_421,time_words,maintenant,now,now,maintenant
item_595,item_422,time_words,matin,morning,morning,matin
item_596,item_423,time_words,nuit,night,night,nuit
item_597,item_695,helping_verbs,a fait,did,did,a fait
item_598,,helping_verbs,aller,go,go,aller
item_599,item_700,helping_verbs,avoir à faire,have to do,,avoir à faire
item_600,item_702,helping_verbs,avoir besoin de,I need,,avoir besoin de
item_601,item_699,helping_verbs,devoir faire,have to do,need,devoir faire
item_602,item_703,helping_verbs,essayer de,try to,try,essayer de
item_603,item_692,helping_verbs,est,is,is,est
item_604,item_705,helping_verbs,était,was,was,était
item_605,item_691,helping_verbs,être,to be,be,être
item_606,item_696,helping_verbs,faire,,do,faire
item_607,item_697,helping_verbs,fait,do,do,fait
item_608,item_701,helping_verbs,laisse-moi,let me,allow,laisse-moi
item_609,item_698,helping_verbs,ne pas,not,not,ne pas
item_610,item_693,helping_verbs,peux,can,can,peux
item_611,item_694,helping_verbs,pourrait,could,could,pourrait
item_612,item_690,helping_verbs,sont,are,are,sont
item_613,item_689,helping_verbs,suis,am,am,suis
item_614,item_704,helping_verbs,vouloir,want,want,vouloir
item_615,item_444,question_words,comment,how,how,comment
item_616,item_632,question_words,le/la/les/quel(les),,which (question),le/la/les/quel(les)
item_617,item_445,question_words,où,where (question),where (question),où
item_618,item_446,question_words,pourquoi,why,why,pourquoi
item_619,item_447,question_words,quand,when (question),when (question),quand
item_620,item_448,question_words,qui,who,who,qui
item_621,item_449,question_words,quoi,what,what,quoi
item_622,item_619,prepositions,à,at,at,à
item_623,item_620,prepositions,à côté de,next to,next to,à côté de
item_624,item_624,prepositions,à l'intérieur de,inside,inside,à l'intérieur de
item_625,item_617,prepositions,au dessus de,above,above,au dessus de
item_626,item_627,prepositions,au loin,far,far,au loin
item_627,item_628,prepositions,au sommet de,at the top of,on top,au sommet de
item_628,item_616,prepositions,au sujet de,about,about,au sujet de
item_629,item_618,prepositions,autour de,around,around,autour de
item_630,item_631,prepositions,avec,with,with,avec
item_631,item_621,prepositions,chez,In someone’s house,,chez
item_632,item_424,prepositions,dans,in,in,dans
item_633,item_626,prepositions,de,of,of,de
item_634,item_426,prepositions,dehors,outside,outside,dehors
item_635,item_427,prepositions,derrière,behind,behind,derrière
item_636,item_428,prepositions,en bas,down,down,en bas
item_637,item_429,prepositions,en haut,up,up,en haut
item_638,item_623,prepositions,ici,here,here,ici
item_639,item_430,prepositions,là,there,there,là
item_640,item_431,prepositions,là-bas,there,there,là-bas
item_641,item_432,prepositions,loin,far,far,loin
item_642,item_629,prepositions,par-dessus,over,over,par dessus
item_643,item_622,prepositions,pour,in order to,for,pour
item_644,item_625,prepositions,près de,near,near,près de
item_645,item_433,prepositions,sous,under,under,sous
item_646,item_434,prepositions,sur,on,on,sur
item_647,item_630,prepositions,vers,towards,towards,vers
item_648,item_633,quantifiers,aucun/e,none,none,
item_649,item_639,quantifiers,aussi,also,also,aussi
item_650,item_638,quantifiers,autre,other,other,autre
item_651,item_637,quantifiers,chaque,each/every,,chaque
item_652,item_636,quantifiers,du/de la/des,some,some,du/de la/des
item_653,item_451,quantifiers,encore,again,again,encore
item_654,item_452,quantifiers,le/la même,same,same,le/la même
item_655,item_640,quantifiers,le/la/les,the,the,le/la/les
item_656,item_453,quantifiers,pas,not,not,pas
item_657,item_635,quantifiers,plein/beaucoup,a lot,a lot,plein/beaucoup
item_658,item_454,quantifiers,tous/tout,all,all,tous/tout
item_659,item_455,quantifiers,un autre,another,another,un autre
item_660,item_456,quantifiers,un peu,little (amount),little (amount),un peu
item_661,item_634,quantifiers,un/une,a,a,un/une
item_662,item_435,pronouns,à elle/sa,hers,hers,à elle/sa
item_663,item_436,pronouns,à lui/son,his,his,à lui/son
item_664,item_437,pronouns,à moi,mine,mine,à moi
item_665,item_438,pronouns,ça,that,that,ça
item_666,item_648,pronouns,ces,these,these,ces
item_667,item_650,pronouns,ceux,those,those,ceux
item_668,item_646,pronouns,elle,she,she,elle
item_669,,pronouns,eux,them,them,eux
item_670,item_641,pronouns,il,he,he,Il
item_671,item_649,pronouns,ils/elles,they,they,ils/elles
item_672,item_439,pronouns,je,i,I,je
item_673,item_647,pronouns,leur,their,their,leur
item_674,item_643,pronouns,lui,him,him,lui
item_675,item_440,pronouns,ma/mon/mes,my,my,ma/mon/mes
item_676,item_441,pronouns,moi,me,me,moi
item_677,item_644,pronouns,moi-même,myself,myself,moi-même
item_678,item_645,pronouns,notre,our,our,notre
item_679,item_651,pronouns,nous,we,we,nous
item_680,item_652,pronouns,on,they,they,on
item_681,item_642,pronouns,ses,his,his,ses
item_682,item_653,pronouns,toi-même,yourself,yourself,toi-même
item_683,item_442,pronouns,votre/ta/ton,your,your,votre/ta/ton
item_684,item_443,pronouns,vous/tu,you,you,vous/tu
item_685,item_663,connecting_words,alors,so,so,alors
item_686,item_662,connecting_words,donc,so,so,donc
item_687,item_658,connecting_words,et,and,and,et
item_688,item_660,connecting_words,mais,but,but,mais
item_689,item_659,connecting_words,parce que,because,because,parce que
item_690,item_661,connecting_words,si,if,if,si
,item_50,games_routines,attends,,wait,attends
,item_68,games_routines,veux,,,veux
,item_234,household,dent,,,
,item_343,descriptive_words,grand,,big,grand
,item_367,action_words,avoir sommeil,,sleepy,avoir sommeil
,item_425,prepositions,dedans,,inside,dedans
,item_450,quantifiers,aucun/ne,,none,aucun/e
,item_521,vehicles,traîneau,,sled,traîneau
,item_580,clothing,genouillère,knee pad,,
,item_581,body_parts,aïe,,ouch,
,item_582,body_parts,bobo,,owie,
,item_598,games_routines,les courses,,,les courses
,item_676,outside,bâton,,stick,bâton
,item_719,household,sac,,bag,
,item_746,action_words,finir recevoir,,receive,
,item_747,action_words,donner aller,,give,
