WS,category,definition,gloss,uni_lemma
item_220,body_parts,istmik,buttocks,butt
item_221,body_parts,jalg,leg,leg
item_222,body_parts,juuksed,hair,hair
item_223,body_parts,kael,neck,neck
item_224,body_parts,keel,tongue,tongue
item_225,body_parts,kõht,stomach,stomach
item_226,body_parts,kõrv,ear,ear
item_227,body_parts,käsi,hand,hand
item_228,body_parts,lõug,chin,chin
item_229,body_parts,naba,belly button,belly button
item_230,body_parts,nina,nose,nose
item_231,body_parts,nägu,face,face
item_232,body_parts,pea,head,head
item_233,body_parts,peenis,penis,penis
item_234,body_parts,põlv,knee,knee
item_235,body_parts,põsk,cheek,cheek
item_236,body_parts,pöial,thumb,thumb
item_237,body_parts,rind,breast,breast
item_238,body_parts,selg,back,back
item_239,body_parts,silm,eye,eye
item_240,body_parts,suu,mouth,mouth
item_241,body_parts,sõrm,finger,finger
item_242,body_parts,varvas,toe,toe
item_243,body_parts,õlg,shoulder,shoulder
item_244,furniture_rooms,ahi,stove,stove
item_245,furniture_rooms,aken,window,window
item_246,furniture_rooms,arvuti,computer,computer
item_247,furniture_rooms,diivan,couch,couch
item_248,furniture_rooms,duss,shower,shower
item_249,furniture_rooms,elutuba,living room,living room
item_250,furniture_rooms,esik,entryway,
item_251,furniture_rooms,garaaz,garage,garage
item_252,furniture_rooms,kapp,cupboard,cupboard
item_253,furniture_rooms,kelder,cellar,cellar
item_254,furniture_rooms,koridor,corridor,corridor
item_255,furniture_rooms,köök,kitchen,kitchen
item_256,furniture_rooms,külmkapp,fridge,refrigerator
item_257,furniture_rooms,laud,table,table
item_258,furniture_rooms,magamistuba,bedroom,bedroom
item_259,furniture_rooms,peegel,mirror,mirror
item_260,furniture_rooms,pesumasin,washing machine,washing machine
item_261,furniture_rooms,pink,stool,stool
item_262,furniture_rooms,pliit,cooker,cooker
item_263,furniture_rooms,raadio,radio,radio
item_264,furniture_rooms,riiul,shelf,shelf
item_265,furniture_rooms,sahtel,drawer,drawer
item_266,furniture_rooms,saun,sauna,sauna
item_267,furniture_rooms,söögitool,dining chair,baby chair
item_268,furniture_rooms,televiisor,TV,TV
item_269,furniture_rooms,tool,chair,chair
item_270,furniture_rooms,trepp,staircase,stairs
item_271,furniture_rooms,tualett,toilet,toilet
item_272,furniture_rooms,uks,door,door
item_273,furniture_rooms,kraanikauss,sink,sink
item_274,furniture_rooms,vann,bath,bath
item_275,furniture_rooms,vannituba,bathroom,bathroom
item_276,furniture_rooms,voodi,bedroom,bedroom
item_277,furniture_rooms,võrevoodi,cot,cot
item_278,time_words,eile,yesterday,yesterday
item_279,time_words,enne,before,before
item_280,time_words,hilja,late,late
item_281,time_words,homme,tomorrow,tomorrow
item_282,time_words,hommik,morning,morning
item_283,time_words,juba,already,already
item_284,time_words,kohe,immediately,immediately
item_285,time_words,nüüd,now,now
item_286,time_words,praegu,currently,
item_287,time_words,päev,day,day
item_288,time_words,pärast,later,later
item_289,time_words,täna,today,today
item_290,time_words,vara,early,early
item_291,time_words,õhtu,evening,evening
item_292,time_words,öö,night,night
item_293,household,fotokas,camera,camera
item_294,household,haamer,hammer,hammer
item_295,household,hambahari,toothbrush,toothbrush
item_296,household,hari,brush,brush (object)
item_297,household,kahvel,fork,fork
item_298,household,kamm,hairbrush,brush (object)
item_299,household,karp,case,
item_300,household,kast,box,box
item_301,household,kauss,bowl,bowl
item_302,household,kell,clock,clock
item_303,household,klaas,glass,glass
item_304,household,korv,basket,basket
item_305,household,kott,bag,bag
item_306,household,käekell,wristwatch,watch
item_307,household,käärid,scissors,scissors
item_308,household,lamp,lamp,lamp
item_309,household,lill,plant,plant
item_310,household,lina,bedsheet,sheet
item_311,household,lusikas,spoon,spoon
item_312,household,nael,nail,nail
item_313,household,nuga,knife,knife
item_314,household,nõud,dishes,dish
item_315,household,paber,paper,paper
item_316,household,padi,pillow,pillow
item_317,household,pilt,picture,picture
item_318,household,pissipott,pee pot,
item_319,household,keedupott,pot,pot
item_320,household,prillid,glasses,glasses
item_321,household,prügi,trash,trash
item_322,household,pudel,bottle,bottle
item_323,household,purk,jar,jar
item_324,household,raha,money,money
item_325,household,rahakott,wallet,wallet
item_326,household,ravim,medicine,medicine
item_327,household,rätik,towel,towel
item_328,household,seep,soap,soap
item_329,household,sent,coin,coin
item_330,household,taldrik,plate,plate
item_331,household,taskurätt,handkerchief,handkerchief
item_332,household,tass,mug,mug
item_333,household,teip,tape,tape
item_334,household,tekk,blanket,blanket
item_335,household,tolmuimeja,vacuum,vacuum
item_336,household,tolmulapp,dust cloth,cloth
item_337,household,tuli,fire,fire
item_338,household,vaip,carpet,carpet
item_339,household,vitamiin,vitamin,vitamin
item_340,household,võtmed,keys,keys
item_341,household,pang,bucket,bucket
item_342,outside,aed,garden,garden
item_343,outside,auk,hole,hole
item_344,outside,bassein,pool,pool
item_345,outside,jõgi,river,river
